auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.6553191489361702,0.8445687220664715,0.16987584513716314,0.9870967741935484,0.0851063829787234,0.7806122448979592,0.6666666666666666,0.8717948717948718,0.49626415393692785,153,43,4,2,202,155,0.7673267326732673,196,6,t0,surgery_type,cardiac,0.4751920122887865,-0.06851090032491347,-0.03262365007498244,False
0.5641228070175438,0.33553908036177016,0.18146224343163322,0.1,0.9526315789473684,0.4,0.7702127659574468,0.16,0.49626415393692785,6,9,181,54,250,60,0.24,15,57,t0,surgery_type,orthopaedic,-0.4119047619047619,-0.15970724224353983,-0.021037251780512356,False
0.5698423713690889,0.4711341082587461,0.2365095091289463,0.2597402597402597,0.8091603053435115,0.4444444444444444,0.6503067484662577,0.32786885245901637,0.49626415393692785,20,25,106,57,208,77,0.3701923076923077,45,135,t0,surgery_type,vascular,-0.25216450216450215,-0.15398767789199475,0.034010013916800724,False
0.7550357909539018,0.6535446399955345,0.1839824950708222,0.38661710037174724,0.9114688128772636,0.7027027027027027,0.7330097087378641,0.4988009592326139,0.49626415393692785,104,44,453,165,766,269,0.35117493472584854,160,237,t6,admission_urgency,elective,-0.15862099486634795,-0.02952496438271557,-0.00019976919669786875,False
0.7617489826857097,0.8287890147236465,0.18483620958662517,0.8278145695364238,0.5180722891566265,0.7575757575757576,0.6231884057971014,0.7911392405063291,0.49626415393692785,125,40,43,26,234,151,0.6452991452991453,159,56,t6,admission_urgency,emergency,0.28257647429832866,-0.022811772650907725,0.0006539453191050926,False
0.7712169312169312,0.7062486351047563,0.19604325566702094,0.5142857142857142,0.8296296296296296,0.7012987012987013,0.6871165644171779,0.5934065934065934,0.49626415393692785,54,23,112,51,240,105,0.4375,80,63,t6,age_band,65_to_74,-0.030952380952380953,-0.013343824119686154,0.011860991399500864,False
0.7945544554455446,0.729272136091178,0.1808962044585544,0.6666666666666666,0.7920792079207921,0.6956521739130435,0.7692307692307693,0.6808510638297872,0.49626415393692785,48,21,80,24,173,72,0.4161849710982659,72,60,t6,age_band,75_plus,0.12142857142857144,0.009993700108927195,-0.00328605980896568,False
0.7928509905254092,0.7635657515060803,0.18030125985707862,0.522633744855967,0.8837209302325582,0.7604790419161677,0.7238095238095238,0.6195121951219512,0.49626415393692785,127,40,304,116,587,243,0.41396933560477,167,170,t6,age_band,under_65,-0.022604350382128158,0.008290235188791795,-0.003881004410441452,False
0.7839743589743591,0.8093786116295469,0.19294359985500856,0.6777777777777778,0.7115384615384616,0.7305389221556886,0.6568047337278107,0.7031700288184438,0.49626415393692785,122,45,111,58,336,180,0.5357142857142857,163,136,t6,has_notes_route,no_notes,0.13253968253968262,-0.0005863963622583235,0.008761335587488484,False
0.7728970125786164,0.6712603415860057,0.17974881734373072,0.44583333333333336,0.9080188679245284,0.7328767123287672,0.7432432432432432,0.5544041450777202,0.49626415393692785,107,39,385,133,664,240,0.3614457831325301,156,157,t6,has_notes_route,with_notes,-0.09940476190476183,-0.011663742758000972,-0.004433446923789358,False
0.7898172820708032,0.7125410182246632,0.17904205333774698,0.5459459459459459,0.852112676056338,0.7062937062937062,0.7423312883435583,0.6158536585365854,0.49626415393692785,101,42,242,84,469,185,0.39445628997867804,147,133,t6,sex,F,0.0007078507078507323,0.005256526734185751,-0.005140210929773098,False
0.7825474410580793,0.7555812873845672,0.18872229990982442,0.5446808510638298,0.8581081081081081,0.7529411764705882,0.703601108033241,0.6320987654320988,0.49626415393692785,128,42,254,107,531,235,0.4425612052730697,172,160,t6,sex,M,-0.0005572441742653922,-0.0020133142785381253,0.004540035642304346,False
0.7272995283018868,0.6078135592188956,0.20290418926669204,0.3203125,0.9292452830188679,0.7321428571428571,0.6936619718309859,0.44565217391304346,0.49626415393692785,41,15,197,87,340,128,0.3764705882352941,65,102,t6,surgery_type,abdominal,-0.2249255952380952,-0.05726122703473058,0.01872192499917197,False
0.7564859299931366,0.8783208354323571,0.147858036881635,0.967741935483871,0.19148936170212766,0.7978723404255319,0.6428571428571429,0.8746355685131195,0.49626415393692785,150,38,9,5,202,155,0.7673267326732673,182,18,t6,surgery_type,cardiac,0.4225038402457758,-0.028074825343480825,-0.03632422738588506,False
0.7467543859649122,0.47690811295307955,0.16006226880275734,0.11666666666666667,0.968421052631579,0.5384615384615384,0.7763713080168776,0.1917808219178082,0.49626415393692785,7,6,184,53,250,60,0.24,16,65,t6,surgery_type,orthopaedic,-0.4285714285714285,-0.03780636937170523,-0.024119995464762733,False
0.6510359869138496,0.5369711911853688,0.21784590993300573,0.4025974025974026,0.8091603053435115,0.5535714285714286,0.6973684210526315,0.46616541353383456,0.49626415393692785,31,25,106,46,208,77,0.3701923076923077,56,108,t6,surgery_type,vascular,-0.14264069264069257,-0.13352476842276784,0.03366364566548566,False
0.8015827305842489,0.7061255495808358,0.1681259580985234,0.4684014869888476,0.9114688128772636,0.7411764705882353,0.7600671140939598,0.5740318906605922,0.49626415393692785,126,44,453,143,766,269,0.35117493472584854,190,233,t12,admission_urgency,elective,-0.15064613205877148,-0.02532613641082504,0.0018875081810969252,False
0.8190377403654352,0.8616852051202142,0.1600596838203312,0.8874172185430463,0.5542168674698795,0.783625730994152,0.7301587301587301,0.8322981366459627,0.49626415393692785,134,37,46,17,234,151,0.6452991452991453,173,47,t12,admission_urgency,emergency,0.26836959949542727,-0.007871126629638736,-0.0061787660970952785,False
0.8060670194003527,0.750230288496128,0.17896478420237324,0.6,0.8444444444444444,0.75,0.7307692307692307,0.6666666666666666,0.49626415393692785,63,21,114,42,240,105,0.4375,89,57,t12,age_band,65_to_74,-0.01904761904761909,-0.020841847594721186,0.012726334284946766,False
0.834020902090209,0.7692452430351882,0.1677333033864811,0.7361111111111112,0.7920792079207921,0.7162162162162162,0.8080808080808081,0.726027397260274,0.49626415393692785,53,21,80,19,173,72,0.4161849710982659,75,61,t12,age_band,75_plus,0.11706349206349209,0.0071120350951350275,0.001494853469054619,False
0.8390396210163652,0.8093387288853049,0.16059461707494999,0.5925925925925926,0.8866279069767442,0.7868852459016393,0.754950495049505,0.676056338028169,0.49626415393692785,144,39,305,99,587,243,0.41396933560477,199,162,t12,age_band,under_65,-0.02645502645502651,0.012130754021291268,-0.005643832842476493,False
0.8262108262108262,0.8374169001142037,0.1721134587145,0.7388888888888889,0.7564102564102564,0.7777777777777778,0.7151515151515152,0.7578347578347578,0.49626415393692785,133,38,118,47,336,180,0.5357142857142857,180,123,t12,has_notes_route,no_notes,0.11984126984126986,-0.0006980407842477332,0.005875008797073533,False
0.816185141509434,0.7270019201624051,0.16326555389963018,0.5291666666666667,0.8985849056603774,0.7470588235294118,0.771255060728745,0.6195121951219512,0.49626415393692785,127,43,381,113,664,240,0.3614457831325301,183,157,t12,has_notes_route,with_notes,-0.0898809523809524,-0.010723725485639934,-0.002972896017796295,False
0.8367148838979825,0.769962981801175,0.1600236918288757,0.6216216216216216,0.852112676056338,0.732484076433121,0.7756410256410257,0.672514619883041,0.49626415393692785,115,42,242,70,469,185,0.39445628997867804,168,123,t12,sex,F,0.002574002574002532,0.00980601690290861,-0.006214758088550765,False
0.8214347326049453,0.784878586794963,0.17172756770185257,0.6170212765957447,0.8682432432432432,0.7880434782608695,0.7406340057636888,0.6921241050119332,0.49626415393692785,145,39,257,90,531,235,0.4425612052730697,195,157,t12,sex,M,-0.0020263424518743856,-0.005474134390128671,0.005489117784426095,False
0.7889519457547168,0.6766880286180391,0.18171383827153165,0.421875,0.9150943396226415,0.75,0.7238805970149254,0.54,0.49626415393692785,54,18,194,74,340,128,0.3764705882352941,83,101,t12,surgery_type,abdominal,-0.19717261904761907,-0.0379569212403571,0.015475388354105168,False
0.7995881949210707,0.8972559259554348,0.13687283291474506,0.9935483870967742,0.23404255319148937,0.8105263157894737,0.9166666666666666,0.8927536231884058,0.49626415393692785,154,36,11,1,202,155,0.7673267326732673,188,13,t12,surgery_type,cardiac,0.3745007680491551,-0.02732067207400324,-0.02936561700268142,False
0.7674561403508772,0.5081201459885818,0.1540159164702956,0.16666666666666666,0.968421052631579,0.625,0.7863247863247863,0.2631578947368421,0.49626415393692785,10,6,184,50,250,60,0.24,21,69,t12,surgery_type,orthopaedic,-0.45238095238095244,-0.05945272664419676,-0.012222533447130868,False
0.7733716665014375,0.6836845363464272,0.1841512189363138,0.5454545454545454,0.8396946564885496,0.6666666666666666,0.7586206896551724,0.6,0.49626415393692785,42,21,110,35,208,77,0.3701923076923077,71,97,t12,surgery_type,vascular,-0.07359307359307365,-0.05353720049363642,0.01791276901888733,False
0.840657326860793,0.7562165489813498,0.15262637232517975,0.5687732342007435,0.8953722334004024,0.7463414634146341,0.7932263814616756,0.6455696202531646,0.49626415393692785,153,52,445,116,766,269,0.35117493472584854,229,213,t24,admission_urgency,elective,-0.13598867056116126,-0.018714594321472933,0.001854246601660281,False
0.854623793185989,0.8878468726721312,0.14470224154885375,0.9470198675496688,0.5542168674698795,0.7944444444444444,0.8518518518518519,0.8640483383685801,0.49626415393692785,143,37,46,8,234,151,0.6452991452991453,182,37,t24,admission_urgency,emergency,0.24225796278776401,-0.004748127996276885,-0.006069884174665724,False
0.8400000000000001,0.7838490400875505,0.16281615249803902,0.6761904761904762,0.8296296296296296,0.7553191489361702,0.7671232876712328,0.7135678391959799,0.49626415393692785,71,23,112,34,240,105,0.4375,100,49,t24,age_band,65_to_74,-0.02857142857142858,-0.019371921182265828,0.012044026774519545,False
0.8630363036303631,0.8019481202809224,0.15657933037484828,0.7916666666666666,0.7920792079207921,0.7307692307692307,0.8421052631578947,0.76,0.49626415393692785,57,21,80,15,173,72,0.4161849710982659,81,57,t24,age_band,75_plus,0.08690476190476182,0.003664382448097192,0.005807204651328807,False
0.8705617762465307,0.8457896255830719,0.14413632873788987,0.691358024691358,0.8691860465116279,0.7887323943661971,0.7994652406417112,0.7368421052631579,0.49626415393692785,168,45,299,75,587,243,0.41396933560477,230,144,t24,age_band,under_65,-0.013403880070546825,0.011189855064264842,-0.006635796985629605,False
0.8576566951566952,0.8634518078796408,0.15581325713849975,0.8,0.7307692307692307,0.7741935483870968,0.76,0.7868852459016393,0.49626415393692785,144,42,114,36,336,180,0.5357142857142857,194,112,t24,has_notes_route,no_notes,0.09523809523809523,-0.0017152260255707263,0.005041131414980277,False
0.8508352987421383,0.773409289537151,0.14822119175449328,0.6333333333333333,0.8891509433962265,0.7638190954773869,0.810752688172043,0.6924829157175398,0.49626415393692785,152,47,377,88,664,240,0.3614457831325301,217,138,t24,has_notes_route,with_notes,-0.07142857142857151,-0.00853662244012765,-0.002550933969026198,False
0.867548534449943,0.8136365287417049,0.14631204094342046,0.7351351351351352,0.8485915492957746,0.7597765363128491,0.8310344827586207,0.7472527472527473,0.49626415393692785,136,43,241,49,469,185,0.39445628997867804,193,108,t24,sex,F,0.030373230373230364,0.008176613267677046,-0.004460084780099016,False
0.8546722254169062,0.8153600394488774,0.15471144730895536,0.6808510638297872,0.8445945945945946,0.7766990291262136,0.7692307692307693,0.7256235827664399,0.49626415393692785,160,46,250,75,531,235,0.4425612052730697,218,142,t24,sex,M,-0.023910840932117594,-0.004699695765359668,0.00393932158543589,False
0.8371167452830188,0.7369268730610745,0.16134195775773813,0.5703125,0.8962264150943396,0.7684210526315789,0.7755102040816326,0.6547085201793722,0.49626415393692785,73,22,190,55,340,128,0.3764705882352941,110,82,t24,surgery_type,abdominal,-0.1344494047619048,-0.02225517589924708,0.010569832034218657,False
0.8197666437886068,0.9106791633918423,0.13097635077475625,0.9935483870967742,0.2765957446808511,0.8191489361702128,0.9285714285714286,0.8979591836734694,0.49626415393692785,154,34,13,1,202,155,0.7673267326732673,187,14,t24,surgery_type,cardiac,0.28878648233486937,-0.039605277393659155,-0.019795774948763223,False
0.7916666666666667,0.55523401936478,0.14651150922308764,0.25,0.9473684210526315,0.6,0.8,0.35294117647058826,0.49626415393692785,15,10,180,45,250,60,0.24,32,67,t24,surgery_type,orthopaedic,-0.4547619047619048,-0.06770525451559917,-0.00426061650043183,False
0.8490135818380093,0.7985536705529442,0.15784019194046073,0.7012987012987013,0.8244274809160306,0.7012987012987013,0.8244274809160306,0.7012987012987013,0.49626415393692785,54,23,108,23,208,77,0.3701923076923077,82,87,t24,surgery_type,vascular,-0.0034632034632035014,-0.010358339344256562,0.0070680662169412545,False
