auroc,auprc,brier_score,sensitivity,specificity,ppv,npv,f1,threshold,tp,fp,tn,fn,n_total,n_positive,event_rate,alert_count,manual_review_count,stage,group_col,group_value,sensitivity_gap_vs_overall,auroc_gap_vs_overall,brier_gap_vs_overall,unstable_estimate
0.7166095553192326,0.727708826661351,0.21214856092732676,0.5622119815668203,0.7991452991452992,0.7218934911242604,0.6631205673758865,0.6321243523316062,0.49626415393692785,122,47,187,95,451,217,0.4811529933481153,169,147,t0,transfused_label,yes,0.05030721966205842,-0.007220493941850981,0.009649065715181177,False
0.7334472934472934,0.6018990565039989,0.1858028359426727,0.28717948717948716,0.9333333333333333,0.6746987951807228,0.7311411992263056,0.4028776978417266,0.49626415393692785,56,27,378,139,600,195,0.325,91,185,t6,asa_band,asa_1_2,-0.25805860805860803,-0.051113461889323974,0.0016205716751526156,False
0.7971703651520489,0.8035636034495698,0.18252058955347097,0.7598039215686274,0.6826347305389222,0.7451923076923077,0.6993865030674846,0.7524271844660194,0.49626415393692785,155,53,114,49,371,204,0.5498652291105122,205,104,t6,asa_band,asa_3,0.21456582633053223,0.012609609815431466,-0.0016616747140490995,False
0.7202380952380951,0.852418765353016,0.17191117164064607,0.8571428571428571,0.5,0.8181818181818182,0.5714285714285714,0.8372093023255814,0.49626415393692785,18,4,4,3,29,21,0.7241379310344828,23,4,t6,asa_band,asa_4_plus,0.3119047619047619,-0.06432266009852228,-0.012271092626874008,True
0.7786065162907267,0.7153501153031606,0.1809642749854401,0.512,0.87468671679198,0.7191011235955056,0.7409766454352441,0.5981308411214953,0.49626415393692785,128,50,349,122,649,250,0.3852080123266564,184,171,t6,blood_loss_missing_label,measured,-0.03323809523809518,-0.0059542390458906524,-0.003217989282079975,False
0.7841403964900877,0.7591486978046672,0.1901323356181466,0.5941176470588235,0.8121546961325967,0.7481481481481481,0.6805555555555556,0.6622950819672131,0.49626415393692785,101,34,147,69,351,170,0.4843304843304843,135,122,t6,blood_loss_missing_label,missing,0.04887955182072834,-0.00042035884652968925,0.005950071350626529,False
0.7798012842340809,0.7198594821531972,0.18423168487956088,0.5370919881305638,0.8524590163934426,0.7154150197628458,0.7272727272727273,0.6135593220338983,0.49626415393692785,181,72,416,156,825,337,0.4084848484848485,259,245,t6,has_diabetes_label,no,-0.008146107107531386,-0.004759471102536494,4.942061204080139e-05,False
0.8112886327920377,0.7997387771023412,0.18394928138218503,0.5783132530120482,0.8695652173913043,0.8,0.6956521739130435,0.6713286713286714,0.49626415393692785,48,12,80,35,175,83,0.4742857142857143,60,48,t6,has_diabetes_label,yes,0.03307515777395298,0.026727877455420268,-0.00023298288533504796,False
0.768291389167207,0.6794404362067239,0.18829545561911035,0.5148936170212766,0.8448753462603878,0.6836158192090396,0.7279236276849642,0.587378640776699,0.49626415393692785,121,56,305,114,596,235,0.39429530201342283,180,183,t6,has_hypertension_label,no,-0.030344478216818627,-0.016269366169410437,0.004113191351590273,False
0.8056522275700357,0.7983688693280672,0.1781142889072533,0.5837837837837838,0.8721461187214612,0.7941176470588235,0.7126865671641791,0.6728971962616822,0.49626415393692785,108,28,191,77,404,185,0.45792079207920794,139,110,t6,has_hypertension_label,yes,0.03854568854568863,0.02109147223341834,-0.006067975360266764,False
